Lesson 3B
The Missing Keys
'due': TKAOU
'duffer': TKUFR
'deferral': TKEFRL
'devil': TKEFL
'double': TKUBL
'debt': TKET
'dabble': TKABL
'drug': TKRUG
'depress': TKPRES
'desire': STKAOEUR
'dessert': STKERT
'destroyed': STKROEUD
'feral': TPERL
'ford': TPORD
'for': TPOR
'phrase': TPRAEUZ
'fierce': TPAOERS
'fable': TPAEUBL
'feeble': TPAOEBL
'sphere': STPAOER
'fries': TPRAOEUS
'leader': HRAOERD
'lace': HRAEUS
'letter': HRERT
'lust': HRUFT
'lovers': HROFRS
'leaders': HRAOERDZ
'glad': TKPWHRAD
'glare': TKPWHRAEUR
'glides': TKPWHRAOEUDZ
'give': TKPWEUF
'get': TKPWET
'group': TKPWRAOUP
'guest': TKPWEFT
'guide': TKPWAOEUD
'gravel': TKPWRAFL
'cigarette': STKPWRET
'goblet': TKPWOBLT
'bored': PWORD
'board': PWAORD
'bruise': PWRAOUZ
'buyer': PWAOEUR
'bobble': PWOBL
'brutal': PWRAOULT
'zest': S*EFT
'zap': SA*P
'zag': SA*G
'vile': SRAOEUL
'vase': SRAEUS
'virus': SRAOEURS
'eke': AOEBG
'rockets': ROBGTS
'correct': KREBGT
'quake': KWAEUBG
'task': TAFBG
