Lesson 3D Exercise 2
Including Sounds from Previous Lessons
'thing': THEUPBG
'thence': THEPBS
'them': THEPL
'thumb': THUPL
'thrill': THREUL
'throng': THROPBG
'thrash': THRARB
'seethe': SAO*ET
'method': PH*ETD
'math': PHA*T
'birth': PW*EURT
'breath': PWR*ET
'fifth': TP*EUFT
'death': TK*ET
'sleuth': SHRAO*UT
'blithe': PWHRAO*EUT
'growth': TKPWHRO*ET
'choose': KHAOS
'chasm': KHAFPL
'chuck': KHUBG
'check': KHEBG
'churn': KHURPB
'cherub': KHERB
'chin': KHEUPB
'channel': KHAPBL
'chant': KHAPBT
'chance': KHAPBS
'chive': KHAOEUF
'charm': KHARPL
'bleach': PWHRAOEFP
'much': PHUFP
'latch': HRAFP
'leech': HRAOEFP
'match': PHAFP
'botch': PWOFP
'fetch': TPEFP
'ditch': TKEUFP
'glitch': TKPWHREUFP
'vouch': SROUFP
'slouch': SHROUFP
'smooch': SPHAOFP
'splotch': SPHROFP
'shim': SHEUPM
'slime': SHRAOEUPL
'shrewd': SHRAOUD
'shrine': SHRAOEUPB
'shush': SHURB
'shuck': SHUBG
'shark': SHARBG
'shock': SHOBG
'sheesh': SHAOERB
'shrivel': SHREUFL
'sugar': SHAOURG
'lash': HRARB
'mesh': PHERB
'mash': PHARB
'plush': PHRURB
'bush': PWURB
'brush': PWRURB
'blush': PWHRURB
'fish': TPEURB
'fresh': TPRERB
'flush': TPHRURB
'flesh': TPHRERB
'flash': TPHRARB
'dash': TKARB
'delish': TKHREURB
'gosh': TKPWORB
'gash': TKPWARB
'shush': SHURB
'slash': SHRARB
'smush': SPHURB
'slosh': SHRORB
'splash': SPHRARB
'squish': SKWEURB
'Irish': AOEURB
'anger': ARPBG
'finger': TPEURPBG
'dung': TKUPBG
'lung': HRUPBG
'ping': PEUPBG
'pong': POPBG
'among': PHOPBG
'bring': PWREUPBG
'young': KWRUPBG
'fang': TPAPBG
'flung': TPHRUPBG
'gang': TKPWAPBG
'belong': PWHROPBG
'change': KHAEUPBG
'range': RAEUPBG
'hinge': HEUPBG
'lounge': HROUPBG
'plunge': PHRUPBG
'cringe': KREUPBG
'tinge': TEUPBG
'fringe': TPREUPBG
'derange': TKRAEUPBG
'grunge': TKPWRUPBG
'syringe': SREUPBG
