Lesson 3A-2
Long Vowel Chords
'aids': AEUDZ
'ace': AEUS
'ate': AEUT
'able': AEUBL
'ape': AEUP
'raid': RAEUD
'raise': RAEUZ
'rail': RAEUL
'rate': RAEUT
'race': RAEUS
'pay': PAEU
'paid': PAEUD
'pace': PAEUS
'tape': TAEUP
'spray': SPRAEU
'praise': PRAEUZ
'weaver': WAOEFR
'trees': TRAOES
'eel': AOEL
'eat': AOET
'evil': AOEFL
'ear': AOER
'heat': HAOET
'heap': HAOEP
'wield': WAOELD
'weird': WAOERD
'peer': PAOER
'priest': PRAOEFT
'tree': TRAOE
'tweeze': TWAOEZ
'tweed': TWAOED
'seat': SAOET
'cease': SAOES
'seed': SAOED
'seize': SAOEZ
'secrete': SKRAOET
'ire': AOEUR
'I'll': AOEUL
'ice': AOEUS
'rifle': RAOEUF
'ripe': RAOEUP
'right': RAOEUT
'height': HAOEUT
'wild': WAOEULD
'pipe': PAOEUP
'pride': PRAOEUD
'prize': PRAOEUZ
'kite': KAOEUT
'type': TAOEUP
'spite': SPAOEUT
'drive': KRAOEUF
'hope': HOEP
'spore': SPOER
'post': POEFT
'sold': SOELD
'prose': PROES
'ode': OED
'oat': OET
'over': OEFR
'robe': ROEB
'rope': ROEP
'roar': ROER
'rove': ROEF
'host': HOEFT
'wove': WOEF
'wrote': WROET
'pole': POEL
'pose': POES
'cope': KOEP
'coat': KOET
'code': KOED
'crow': KROE
'told': TOELD
'cube': KAOUB
'use': AOUZ
'rude': RAOUD
'rule': RAOUL
'pure': PAOUR
'prude': PRAOUD
'Proust': PRAOUFT
'cure': KAOUR
'cute': KAOUT
'crew': KRAOU
'cruel': KRAOUL
'crude': KRAOUD
'cruise': KRAOUS
'truce': TRAOUS
'truth': TRAOUT
'spew': SPAOU
'skew': SKAOU
