Lesson 3D Exercise 1
Digraphs
'thefts': THEFTS
'thud': THUD
'thus': THUS
'thug': THUG
'hath': HA*T
'earth': *ERT
'oath': O*ET
'health': H*ELT
'wealth': W*ELT
'worth': WO*RT
'path': PA*T
'troth': TRO*T
'chess': KHES
'chest': KHEFT
'chart': KHART
'chat': KHAT
'chop': KHOP
'chore': KHOR
'chaff': KHAF
'touch': TUFP
'etch': EFP
'ratchet': RAFPT
'hutch': HUFP
'hatch': HAFP
'watch': WAFP
'patch': PAFP
'catch': KAFP
'crutch': KRUFP
'such': SUFP
'sketch': SKEFP
'stretch': STREFP
'retch': REFP
'shell': SHEL
'shuffled': SHUFLD
'shall': SHAL
'shore': SHOR
'shovels': SHOFLS
'ash': ARB
'rush': RURB
'rash': RARB
'hush': HURB
'hash': HARB
'wash': WARB
'push': PURB
'posh': PORB
'crush': KRURB
'crash': KRARB
'trash': TRARB
'squash': SKWARB
'stash': STARB
'anger': ARPBG
'storing': STORPBG
'rung': RUPBG
'rang': RAPBG
'prong': PROPBG
'tongue': TUPBG
'twang': TWAPBG
'song': SOPBG
'stung': STUPBG
'strong': STROPBG
'sponge': SPOPBG
'orange': ORPBG
