Lesson 5 Exercise 3
Prefix Compounds
'unkind': UPB/KEUPBD
'undo': UPB/TKO
'respect': RE/SPEBGT
'redress': RE/TKRES
'inspect': EUPB/SPEBGT
'inject': EUPB/SKWREBGT
'impress': EUPL/PRES
'improve': EUPL/PROF
'irate': EUR/AEUT
'iran': EUR/APB
'disdain': TKEUZ/TKAEUPB
'disease': TKEUZ/AOEZ
'entrust': EPB/TRUFT
'enhance': EPB/HAPBS
'embalm': EPL/PWAUPL
'embark': EPL/PWARBG
'non-event': TPHAUPB/EFPBT
'overstate': AUFR/STAEUT
'overcook': AUFR/KAOBG
'misspell': PHEUZ/SPEL
'misprint': PHEUZ/PREUPBT
'subscribe': SAUB/SKRAOEUB
'sublet': SAUB/HRET
'preheat': PRE/HAOET
'prevent': PRE/SREPBT
'interject': EUPBT/SKWREBGT
'interrogate': EUPBT/TKPWAEUT
'foreground': TPOER/TKPWROUPBD
'forehead': TPOER/HED
'derange': TKE/HREURBT
'deport': TKE/PORT
'transform': TRAPBS/TPORPL
'transgress': TRAPBS/TKPWRES
'superman': SAOUP/PHAPB
'superheat': SAOUP/HAOET
'semisolid': SPHEU/SOLD
'semicharmed': SPHEU/KHARPLD
'antimatter': A*EUPBT/PHAERT
'antipole': A*EUPBT/POEUL
'mid-section': PHEUD/EBGS
'mid-step': PHEUD/STEP
'underdress': UPBD/TKRES
'underwear': UPBD/WAER
