Lesson 5 Exercise 3
Suffix Compounds:
'princes': PREUPBS/S
'princess': PREUPB/SES
'headed': HED/D
'loaded': HROED/D
'bringing': PWREUPBG/G
'ringing': REUPBG/G
'boldly' TKOLD/HREU
'coldly': KOLD/HREU
'cider': SAOEUD/*ER
'rider': RAOEUD/*ER
'actor': ABGT/O*R
'Hector': HEBGT/O*R
'relation': REL/AEUGS
'elation': EL/AEUGS
'anion': AN/KWROPB
'cation': KAT/KWROPB
'breakable': PWRAEBG/BL
'fakable': TPAEBK/BL
'fractal': TPRABGT/A*L
'denial': TKEPB/KWRAL
'vial': SR*/KWRAL
'happiness': HAEP/PBS
'sadness': SAD/PBS
