Lesson 3C Exercise 1
The Remaining Single Letters
'nag': TPHAG
'nap': TPHAP
'nab': TPHAB
'nut': TPHUT
'nub': TPHUB
'never': TPHEFR
'nestle': TPHEFL
'nod': TPHOD
'nest': TPHEFT
'nerd': TPHERD
'pent': PEPBT
'parent': PARPBT
'went': WEPBT
'earns': ERPBS
'rant': RAPBT
'hunt': HUPBT
'hand': HAPBD
'panel': PAPBL
'stun': STUPB
'must': PHUFT
'muffle': PHUFL
'maggot': PHAGT
'mallet': PHALT
'smuggle': SPHULG
'morals': PHORLS
'arm': ARPL
'rum': RUPL
'harm': HARPL
'tempt': TEPLT
'term': TERPL
'calmed': KAPLD
'palm': PAPL
'qualms': KWAPLS
'jut': SKWRUT
'jug': SKWRUG
'just': SKWRUFT
'jest': SKWREFT
'jets': SKWRETS
'job': SKWROB
'jostle': SKWROFL
'jazz': SKWRAZ
'jagged': SKWRAGD
'urge': URPBLG
'edge': EPBLG
'average': AFRPBLG
'purge': PURPBLG
'porridge': PORPBLG
'trudge': TRUPBLG
'storage': STORPBLG
'yard': KWRARD
'yet': KWRET
'yacht': KWRAT
'yurt': KWRURT
