Lesson 3C Exercise 2
Including Sounds from Previous Lessons
'noun': TPHOUPB
'inhibit': TPHEUBT
'nudge': TPHUPBLG
'notes': TPHOETS
'knack': TPHABG
'enacts': TPHABGTS
'neck': TPHEBG
'known': TPHOEPB
'knock': TPHOBG
'gnome': TPHOEPL
'noise': TPHOEUS
'novice': TPHOFS
'named': TPHAEUPLD
'neural': TPHAOURL
'snide': STPHAOEUD
'announce': TPHOUPBS
'loin': HROEUPB
'donor': TKOERPB
'winner': WEURPB
'dinner': TKEURPB
'learned': HRERPBD
'lend': HREPBD
'allowance': HROUPBS
'flaunt': TPHRAUPBT
'deference': TKEFRPBS
'different': TKEUFRPBT
'dance': TKAPBS
'diner': TKAOEURPB
'demand': TKPHAPBD
'grunt': TKPWRUPBT
'grant': TKPWRAPBT
'gleans': TKPWHRAOEPBS
'severance': SEFRPBS
'cement': SPHEPBT
'design': STKPAOEUPB
'mound': PHOUPBD
'mourn': PHOURPB
'maim': PHAEUPL
'matter': PHAEURT
'commit': KPHEUT
'commend': KPHEPBD
'smudge': SPHUPBLG
'smuggle': SPHULG
'semester': SPHEFRT
'forms': TPORPLS
'primed': PRAOEUPLD
'rhymes': RAOEUPLD
'serum': SAOERPL
'time': TAOEUPL
'hermit': HERPLT
'maim': PHAEUPL
'plumb': PHRUPL
'dream': TKRAOEPL
'gym': SKWREUPL
'germ': SKWRERPL
'jam': SKWRAPL
'blame': PWHRAEUPL
'bottom': PWOPLT
'grammar': TKPWRARPL
'balm': PWAUPL
'psalm': SAUPL
'judge': SKWRUPBLG
'journal': SKWRURPBL
'join': SKWROEUPB
'joyful': SKWROEUFL
'jam': SKWRAPL
'gerunds': SKWRERPBDZ
'forge': TPORPBLG
'budgets': PWUPBLGTS
'average': AFRPBLG
'leverage': HREFRPBLG
'merge': PHERPBLG
'beige': PWAEUPBLG
'carriage': KAEURPBLG
'fidget': TPEUPBLGT
'frigid': TPREUPBLGD
'digit': TKEUPBLGT
'gadget': TKPWAPBLGT
'garage': TKPWRAPBLG
'grudge': TKPWRUPBLG
'turgid': TURPBLGD
'year': KWRAOER
'yearn': KWRERPB
'yolk': KWROEBG
